key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Name,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,QuestUnlock,,,CRPCraft,BSMCraft,ARMCraft,GSMCraft,LTWCraft,WVRCraft,ALCCraft,CULCraft
int32,str,NotebookDivisionCategory,byte,byte,Quest,byte,bit&01,bool,bool,bool,bool,bool,bool,bool,bool
0,"1-5","",0,0,,0,False,True,True,True,True,True,True,True,True
1,"6-10","",3,5,,0,False,True,True,True,True,True,True,True,True
2,"11-15","",8,10,,0,False,True,True,True,True,True,True,True,True
3,"16-20","",13,15,,0,False,True,True,True,True,True,True,True,True
4,"21-25","",18,20,,0,False,True,True,True,True,True,True,True,True
5,"26-30","",23,25,,0,False,True,True,True,True,True,True,True,True
6,"31-35","",28,30,,0,False,True,True,True,True,True,True,True,True
7,"36-40","",33,35,,0,False,True,True,True,True,True,True,True,True
8,"41-45","",38,40,,0,False,True,True,True,True,True,True,True,True
9,"46-50","",43,45,,0,False,True,True,True,True,True,True,True,True
10,"51-55","",48,50,,0,False,True,True,True,True,True,True,True,True
11,"56-60","",53,55,,0,False,True,True,True,True,True,True,True,True
12,"61-65","",58,60,,0,False,True,True,True,True,True,True,True,True
13,"66-70","",63,65,,0,False,True,True,True,True,True,True,True,True
14,"71-75","",68,70,,0,False,True,True,True,True,True,True,True,True
15,"76-80","",73,75,,0,False,True,True,True,True,True,True,True,True
16,"81-85","",78,80,,0,False,True,True,True,True,True,True,True,True
17,"86-90","",83,85,,0,False,True,True,True,True,True,True,True,True
18,"91-95","",255,255,,0,False,True,True,True,True,True,True,True,True
19,"96-100","",255,255,,0,False,True,True,True,True,True,True,True,True
20,"101-105","",255,255,,0,False,True,True,True,True,True,True,True,True
21,"106-110","",255,255,,0,False,True,True,True,True,True,True,True,True
22,"111-115","",255,255,,0,False,True,True,True,True,True,True,True,True
23,"116-120","",255,255,,0,False,True,True,True,True,True,True,True,True
24,"121-125","",255,255,,0,False,True,True,True,True,True,True,True,True
25,"126-130","",255,255,,0,False,True,True,True,True,True,True,True,True
26,"131-135","",255,255,,0,False,True,True,True,True,True,True,True,True
27,"136-140","",255,255,,0,False,True,True,True,True,True,True,True,True
28,"141-145","",255,255,,0,False,True,True,True,True,True,True,True,True
29,"146-150","",255,255,,0,False,True,True,True,True,True,True,True,True
30,"151-155","",255,255,,0,False,True,True,True,True,True,True,True,True
31,"156-160","",255,255,,0,False,True,True,True,True,True,True,True,True
32,"161-175","",255,255,,0,False,True,True,True,True,True,True,True,True
33,"166-170","",255,255,,0,False,True,True,True,True,True,True,True,True
34,"171-175","",255,255,,0,False,True,True,True,True,True,True,True,True
35,"176-180","",255,255,,0,False,True,True,True,True,True,True,True,True
36,"181-185","",255,255,,0,False,True,True,True,True,True,True,True,True
37,"186-190","",255,255,,0,False,True,True,True,True,True,True,True,True
38,"191-195","",255,255,,0,False,True,True,True,True,True,True,True,True
39,"196-200","",255,255,,0,False,True,True,True,True,True,True,True,True
40,"[翻訳不要] レベル区分終端","",255,255,,0,False,True,True,True,True,True,True,True,True
1000,"Master Recipes (1)","Master Recipes",50,255,,10,True,True,True,True,True,True,True,True,True
1001,"Master Recipes (2)","Master Recipes",50,255,,9,True,True,True,True,True,True,True,True,True
1002,"Master Recipes (3)","Master Recipes",50,255,,8,True,True,True,True,True,True,True,True,True
1003,"Master Recipes (4)","Master Recipes",60,255,,7,True,True,True,True,True,True,True,True,True
1004,"Master Recipes (5)","Master Recipes",70,255,,6,True,True,True,True,True,True,True,True,True
1005,"Master Recipes (6)","Master Recipes",70,255,,5,True,True,True,True,True,True,True,True,True
1006,"Master Recipes (7)","Master Recipes",80,255,,4,True,True,True,True,True,True,True,True,True
1007,"Master Recipes (8)","Master Recipes",80,255,,3,True,True,True,True,True,True,True,True,True
1008,"Other Master Recipes","Master Recipes",15,255,,11,True,True,True,True,True,True,True,True,True
1009,"","",0,0,,0,False,False,False,False,False,False,False,False,False
1010,"","",0,0,,0,False,False,False,False,False,False,False,False,False
1011,"Dyes","Others",30,255,,1,False,True,True,True,True,True,True,True,True
1012,"","",0,0,,0,False,False,False,False,False,False,False,False,False
1013,"Class Quests","Class",61,255,,1,False,True,True,True,True,True,True,True,True
1014,"Crystarium Deliveries","Class",70,255,"Iola, Forgemaster",2,False,False,True,True,True,False,False,False,False
1015,"Crystarium Deliveries","Class",70,255,"Cherished Memories",3,False,True,False,False,False,True,True,False,False
1016,"Crystarium Deliveries","Class",70,255,"Friends of a Feather",4,False,False,False,False,False,False,False,True,True
1017,"Ixal Quests","Tribal Quests",1,255,,1,False,True,True,True,True,True,True,True,True
1018,"Moogle Quests","Tribal Quests",50,255,,2,False,True,True,True,True,True,True,True,True
1019,"Namazu Quests","Tribal Quests",60,255,,3,False,True,True,True,True,True,True,True,True
1020,"Zhloe Aliapoh","Custom Deliveries",55,255,"Arms Wide Open",10,False,True,True,True,True,True,True,True,True
1021,"M'naago","Custom Deliveries",55,255,"None Forgotten, None Forsaken",9,False,True,True,True,True,True,True,True,True
1022,"Kurenai","Custom Deliveries",55,255,"The Seaweed Is Always Greener",8,False,True,True,True,True,True,True,True,True
1023,"Adkiragh","Custom Deliveries",55,255,"Between a Rock and the Hard Place",7,False,True,True,True,True,True,True,True,True
1024,"Kai-Shirr","Custom Deliveries",55,255,"Oh, Beehive Yourself",6,False,True,True,True,True,True,True,True,True
1025,"Restoration (1)","Sidequests",20,255,,3,False,True,True,True,True,True,True,True,True
1026,"Other","Sidequests",20,255,,7,False,True,True,True,True,True,True,True,True
1027,"Restoration (2)","Sidequests",20,255,,4,False,True,True,True,True,True,True,True,True
1028,"Skysteel Tools","Sidequests",80,255,"Mislaid Plans",1,False,True,True,True,True,True,True,True,True
1029,"Dwarf Quests","Tribal Quests",70,255,,4,False,True,True,True,True,True,True,True,True
1030,"Ehll Tou","Custom Deliveries",55,255,"O Crafter, My Crafter",5,False,True,True,True,True,True,True,True,True
1031,"Restoration (3)","Sidequests",20,255,,5,False,True,True,True,True,True,True,True,True
1032,"50-60","Collectables",50,255,,4,False,True,True,True,True,True,True,True,True
1033,"61-70","Collectables",61,255,,3,False,True,True,True,True,True,True,True,True
1034,"71-80","Collectables",70,255,,2,False,True,True,True,True,True,True,True,True
1035,"Ornaments (1)","Others",50,255,,3,False,False,False,False,False,False,False,True,False
1036,"Restoration (4)","Sidequests",20,255,,6,False,True,True,True,True,True,True,True,True
1037,"Charlemend","Custom Deliveries",55,255,"You Can Count on It",4,False,True,True,True,True,True,True,True,True
1038,"Master Recipes (9)","Master Recipes",90,255,,2,True,True,True,True,True,True,True,True,True
1039,"81-90","Collectables",80,255,,1,False,True,True,True,True,True,True,True,True
1040,"Studium Deliveries","Class",80,255,"Professor Rurusha's New Friend",5,False,False,True,True,True,False,False,False,False
1041,"Studium Deliveries","Class",80,255,"In Search of the Azure Star",6,False,True,False,False,False,True,True,False,False
1042,"Studium Deliveries","Class",80,255,"Perfectly Awful",7,False,False,False,False,False,False,False,True,True
