key,0,1,2
#,Icon,Name,Description
int32,Image,str,str
0,,"",""
1,"ui/icon/216000/216801.tex","Floor Effect: Blindness","Accuracy of all party members is reduced."
2,"ui/icon/216000/216802.tex","Floor Effect: HP Penalty","Maximum HP of all party members is reduced."
3,"ui/icon/216000/216803.tex","Floor Effect: Damage Penalty","Damage dealt by all party members is reduced."
4,"ui/icon/216000/216804.tex","Floor Effect: Inability","Use of abilities is prohibited for all party members."
5,"ui/icon/216000/216805.tex","Floor Effect: Haste","Weaponskill recast time, spell recast time, and auto-attack delay for all party members are reduced."
6,"ui/icon/216000/216806.tex","Floor Effect: HP/MP Boost","Maximum HP and MP of all party members are increased."
7,"ui/icon/216000/216807.tex","Floor Effect: Item Penalty","Use of items (including dungeon-specific items) is prohibited for all party members."
8,"ui/icon/216000/216808.tex","Floor Effect: Sprint Penalty","Use of the action Sprint is prohibited for all party members."
9,"ui/icon/216000/216809.tex","Floor Effect: Knockback Penalty","Knockback and draw-in effects for both enemies and allies are disabled."
10,"ui/icon/216000/216810.tex","Floor Effect: Auto-heal Penalty","HP regeneration for all party members is disabled."
11,"ui/icon/216000/216811.tex","Floor Effect: Gloom","Enemy movement speed is increased. Enemies also deal more damage while taking less."
12,"ui/icon/216000/216812.tex","Floor Effect: Sprint","Movement speed of all party members is increased."
13,"ui/icon/216000/216813.tex","Floor Effect: Magicite Penalty","Use of magicite is prohibited for all party members."
14,"ui/icon/216000/216814.tex","Floor Effect: Demiclone Penalty","Use of demiclones is prohibited for all party members."
