key,0,1,2,3,4,5,6,7,8
#,Item,CollectablesShopItemGroup,LevelMin,,LevelMax,Stars,Key,CollectablesShopRefine,CollectablesShopRewardScrip
int32,Item,CollectablesShopItemGroup,uint16,uint32,uint16,byte,byte,CollectablesShopRefine,CollectablesShopRewardScrip
0.0,"","",0,0,0,0,0,"CollectablesShopRefine#0","0"
1.0,"Oddly Specific Cedar Lumber","Oddly Specific Materials Exchange (Carpentry)",80,0,80,2,3,"CollectablesShopRefine#102","2"
1.1,"Oddly Specific Cedar Plank","Oddly Specific Materials Exchange (Carpentry)",80,0,80,3,3,"CollectablesShopRefine#103","4"
2.0,"Oddly Specific Iron Nails","Oddly Specific Materials Exchange (Blacksmithing)",80,0,80,2,3,"CollectablesShopRefine#102","4"
2.1,"Oddly Specific Iron Ingot","Oddly Specific Materials Exchange (Blacksmithing)",80,0,80,3,3,"CollectablesShopRefine#103","4"
3.0,"Oddly Specific Mythril Rings","Oddly Specific Materials Exchange (Armoring)",80,0,80,2,3,"CollectablesShopRefine#102","4"
3.1,"Oddly Specific Mythril Plate","Oddly Specific Materials Exchange (Armoring)",80,0,80,3,3,"CollectablesShopRefine#103","4"
4.0,"Oddly Specific Silver Nugget","Oddly Specific Materials Exchange (Goldsmithing)",80,0,80,2,3,"CollectablesShopRefine#102","4"
4.1,"Oddly Specific Silver Ingot","Oddly Specific Materials Exchange (Goldsmithing)",80,0,80,3,3,"CollectablesShopRefine#103","4"
5.0,"Oddly Specific Gaganaskin Strap","Oddly Specific Materials Exchange (Leatherworking)",80,0,80,2,3,"CollectablesShopRefine#102","4"
5.1,"Oddly Specific Gagana Leather","Oddly Specific Materials Exchange (Leatherworking)",80,0,80,3,3,"CollectablesShopRefine#103","4"
6.0,"Oddly Specific Cloth","Oddly Specific Materials Exchange (Clothcrafting)",80,0,80,2,3,"CollectablesShopRefine#102","4"
6.1,"Oddly Specific Undyed Woolen Cloth","Oddly Specific Materials Exchange (Clothcrafting)",80,0,80,3,3,"CollectablesShopRefine#103","4"
7.0,"Oddly Specific Glue","Oddly Specific Materials Exchange (Alchemy)",80,0,80,2,3,"CollectablesShopRefine#102","4"
7.1,"Oddly Specific Rubber","Oddly Specific Materials Exchange (Alchemy)",80,0,80,3,3,"CollectablesShopRefine#103","4"
8.0,"Oddly Specific Oil","Oddly Specific Materials Exchange (Cooking)",80,0,80,2,3,"CollectablesShopRefine#102","4"
8.1,"Oddly Specific Paste","Oddly Specific Materials Exchange (Cooking)",80,0,80,3,3,"CollectablesShopRefine#103","4"
9.0,"","",0,0,0,0,0,"CollectablesShopRefine#0","0"
9.1,"","",0,0,0,0,0,"CollectablesShopRefine#0","0"
10.0,"","",0,0,0,0,0,"CollectablesShopRefine#0","0"
10.1,"","",0,0,0,0,0,"CollectablesShopRefine#0","0"
11.0,"","",0,0,0,0,0,"CollectablesShopRefine#0","0"
11.1,"","",0,0,0,0,0,"CollectablesShopRefine#0","0"
12.0,"Yellow Copper Ore","Lv. 50-60",50,0,50,3,3,"CollectablesShopRefine#0","0"
12.1,"Dragon Obsidian","Lv. 50-60",50,0,50,0,3,"CollectablesShopRefine#0","0"
12.2,"Pyrite","Lv. 50-60",51,0,51,0,3,"CollectablesShopRefine#0","0"
12.3,"Yellow Quartz","Lv. 50-60",51,0,52,0,3,"CollectablesShopRefine#0","0"
12.4,"Chalcocite","Lv. 50-60",53,0,53,0,3,"CollectablesShopRefine#0","0"
12.5,"Limonite","Lv. 50-60",53,0,54,0,3,"CollectablesShopRefine#0","0"
12.6,"Green Quartz","Lv. 50-60",53,0,55,0,3,"CollectablesShopRefine#0","0"
12.7,"Fossilized Dragon Bone","Lv. 50-60",56,0,56,0,3,"CollectablesShopRefine#0","0"
12.8,"Abalathian Rock Salt","Lv. 50-60",56,0,56,0,3,"CollectablesShopRefine#0","0"
12.9,"Light Kidney Ore","Lv. 50-60",56,0,57,0,3,"CollectablesShopRefine#0","0"
12.10,"Red Quartz","Lv. 50-60",58,0,58,0,3,"CollectablesShopRefine#0","0"
12.11,"Cuprite","Lv. 50-60",58,0,59,0,3,"CollectablesShopRefine#0","0"
12.12,"Tektite","Lv. 50-60",59,0,59,0,3,"CollectablesShopRefine#0","0"
12.13,"Eventide Jade","Lv. 50-60",59,0,60,0,3,"CollectablesShopRefine#0","0"
12.14,"Aurum Regis Ore","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.15,"Lumythrite Ore","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.16,"Sun Mica","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.17,"Astral Moraine","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.18,"Violet Quartz","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.19,"Blue Quartz","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.20,"Red Alumen","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.21,"Smithsonite Ore","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.22,"Meteorite","Lv. 50-60",60,0,60,1,3,"CollectablesShopRefine#0","0"
12.23,"Gyr Abanian Alumen","Lv. 50-60",60,0,60,2,3,"CollectablesShopRefine#0","0"
12.24,"Raw Triphane","Lv. 50-60",60,0,60,2,3,"CollectablesShopRefine#0","0"
12.25,"Adamantite Ore","Lv. 50-60",60,0,60,0,3,"CollectablesShopRefine#0","0"
12.26,"Gyr Abanian Mineral Water","Lv. 61-70",61,0,61,0,3,"CollectablesShopRefine#0","0"
12.27,"Koppranickel Ore","Lv. 61-70",61,0,63,0,3,"CollectablesShopRefine#0","0"
12.28,"Raw Star Spinel","Lv. 61-70",61,0,63,0,3,"CollectablesShopRefine#0","0"
12.29,"Durium Sand","Lv. 61-70",66,0,66,0,3,"CollectablesShopRefine#0","0"
12.30,"Raw Azurite","Lv. 61-70",66,0,66,0,3,"CollectablesShopRefine#0","0"
12.31,"Durium Ore","Lv. 61-70",66,0,68,0,3,"CollectablesShopRefine#0","0"
12.32,"Raw Imperial Jade","Lv. 61-70",70,0,68,0,3,"CollectablesShopRefine#0","0"
12.33,"Chromite Ore","Lv. 61-70",70,0,70,1,3,"CollectablesShopRefine#0","0"
12.34,"Palladium Ore","Lv. 61-70",70,0,70,1,3,"CollectablesShopRefine#0","0"
12.35,"Yellow Alumen","Lv. 61-70",70,0,70,2,3,"CollectablesShopRefine#0","0"
12.36,"Raw Hematite","Lv. 61-70",70,0,70,2,3,"CollectablesShopRefine#0","0"
