key,0,1,2,3,4,5,6
#,Item,Sort,,X,Y,Radius,
int32,Item,byte,byte,int16,int16,uint16,byte
0,"Diadochos Sword",0,0,0,0,0,0
1,"Island Palm Leaf",0,0,20,0,100,0
2,"Island Apple",21,1,194,72,100,0
3,"Island Branch",6,0,215,82,100,0
4,"Island Stone",8,0,-22,-46,80,0
5,"Island Clam",9,0,-58,-694,150,0
6,"Island Laver",10,0,765,16,100,0
7,"Island Coral",11,0,765,16,100,0
8,"Islewort",2,0,-248,-592,100,0
9,"Island Sand",5,0,236,88,75,0
10,"Island Log",23,1,215,82,100,0
11,"Island Palm Log",24,1,20,0,100,0
12,"Island Vine",1,0,194,72,100,0
13,"Island Sap",7,0,144,11,100,0
14,"Island Copper Ore",42,2,619,213,80,0
15,"Island Limestone",41,2,-22,-46,80,0
16,"Island Rock Salt",43,2,685,-156,75,0
17,"Island Sugarcane",81,4,-9,-344,75,0
18,"Island Cotton Boll",82,4,476,246,75,0
19,"Island Hemp",83,4,556,-11,100,0
20,"Island Clay",61,3,236,89,75,0
21,"Island Tinsand",62,3,12,-140,75,0
22,"Island Iron Ore",121,6,489,-249,100,0
23,"Island Quartz",123,6,392,-360,200,0
24,"Island Leucogranite",122,6,603,-667,125,0
25,"Islefish",101,5,-58,-694,150,0
26,"Island Squid",102,5,765,16,100,0
27,"Island Jellyfish",103,5,765,16,100,0
28,"Island Popoto Set",63,3,-248,-592,100,0
29,"Island Cabbage Seeds",3,0,-25,-198,75,0
30,"Island Parsnip Seeds",64,3,-224,-460,100,0
31,"Island Pumpkin Seeds",4,0,35,110,75,0
32,"Island Resin",140,7,215,82,100,0
33,"Island Coconut",141,7,20,0,100,0
34,"Island Beehive Chip",142,7,194,72,100,0
35,"Island Wood Opal",143,7,144,11,100,0
36,"Multicolored Isleblooms",130,0,194,-384,75,0
37,"Island Coal",151,2,405,-238,80,1
38,"Island Shale",155,8,405,-238,80,1
39,"Island Glimshroom",150,0,458,-370,80,1
40,"Island Marble",153,8,-22,-46,80,0
41,"Island Mythril Ore",154,8,619,213,80,0
42,"Island Effervescent Water",152,2,304,-269,80,1
43,"Island Spectrine",156,8,304,-269,80,1
