key,0,1,2
#,Item,Order,Category
int32,Item,uint16,CabinetCategory
0,"Gallant Coronet",1001,"Artifact Armor"
1,"Gallant Surcoat",1002,"Artifact Armor"
2,"Gallant Cuisses",1004,"Artifact Armor"
3,"Gallant Gauntlets",1003,"Artifact Armor"
4,"Gallant Sollerets",1005,"Artifact Armor"
5,"Temple Circlet",1006,"Artifact Armor"
6,"Temple Cyclas",1007,"Artifact Armor"
7,"Temple Gaskins",1009,"Artifact Armor"
8,"Temple Gloves",1008,"Artifact Armor"
9,"Temple Boots",1010,"Artifact Armor"
10,"Fighter's Burgeonet",1011,"Artifact Armor"
11,"Fighter's Cuirass",1012,"Artifact Armor"
12,"Fighter's Breeches",1014,"Artifact Armor"
13,"Fighter's Gauntlets",1013,"Artifact Armor"
14,"Fighter's Jackboots",1015,"Artifact Armor"
15,"Drachen Armet",1016,"Artifact Armor"
16,"Drachen Mail",1017,"Artifact Armor"
17,"Drachen Breeches",1019,"Artifact Armor"
18,"Drachen Gauntlets",1018,"Artifact Armor"
19,"Drachen Greaves",1020,"Artifact Armor"
20,"Choral Chapeau",1021,"Artifact Armor"
21,"Choral Shirt",1022,"Artifact Armor"
22,"Choral Tights",1024,"Artifact Armor"
23,"Choral Ringbands",1023,"Artifact Armor"
24,"Choral Sandals",1025,"Artifact Armor"
25,"Healer's Circlet",1031,"Artifact Armor"
26,"Healer's Robe",1032,"Artifact Armor"
27,"Healer's Culottes",1034,"Artifact Armor"
28,"Healer's Gloves",1033,"Artifact Armor"
29,"Healer's Boots",1035,"Artifact Armor"
30,"Wizard's Petasos",1036,"Artifact Armor"
31,"Wizard's Coat",1037,"Artifact Armor"
32,"Wizard's Tonban",1039,"Artifact Armor"
33,"Wizard's Gloves",1038,"Artifact Armor"
34,"Wizard's Crakows",1040,"Artifact Armor"
35,"Dragon Kabuto",2001,"Seasonal Gear 4"
36,"Crimson Dragon Kabuto",2002,"Seasonal Gear 4"
37,"Golden Dragon Kabuto",2003,"Seasonal Gear 4"
38,"Black Dragon Kabuto",2004,"Seasonal Gear 4"
39,"Paramour's Pendant",2078,"Seasonal Gear 4"
40,"Platinum Paramour's Pendant",2079,"Seasonal Gear 4"
41,"Band of Eternal Passion",2080,"Seasonal Gear 4"
42,"Peach Blossoms",2037,"Seasonal Gear 1"
43,"Pristine Egg Cap",3000,"Seasonal Gear 1"
44,"Vibrant Egg Cap",3001,"Seasonal Gear 1"
45,"Brilliant Egg Cap",3002,"Seasonal Gear 1"
46,"Midnight Egg Cap",3003,"Seasonal Gear 1"
47,"Chocobo Egg Cap",3004,"Seasonal Gear 1"
48,"Pristine Egg Ring",3005,"Seasonal Gear 1"
49,"Vibrant Egg Ring",3006,"Seasonal Gear 1"
50,"Brilliant Egg Ring",3007,"Seasonal Gear 1"
51,"Midnight Egg Ring",3008,"Seasonal Gear 1"
52,"Chocobo Egg Ring",3009,"Seasonal Gear 1"
53,"Red Summer Top",2063,"Seasonal Gear 2"
54,"Green Summer Top",2064,"Seasonal Gear 2"
55,"Blue Summer Top",2065,"Seasonal Gear 2"
56,"Solar Summer Top",2066,"Seasonal Gear 2"
57,"Lunar Summer Top",2067,"Seasonal Gear 2"
58,"Red Summer Halter",2072,"Seasonal Gear 2"
59,"Green Summer Halter",2073,"Seasonal Gear 2"
60,"Blue Summer Halter",2074,"Seasonal Gear 2"
61,"Solar Summer Halter",2075,"Seasonal Gear 2"
62,"Lunar Summer Halter",2076,"Seasonal Gear 2"
63,"Red Summer Trunks",2081,"Seasonal Gear 2"
64,"Green Summer Trunks",2082,"Seasonal Gear 2"
65,"Blue Summer Trunks",2083,"Seasonal Gear 2"
66,"Solar Summer Trunks",2084,"Seasonal Gear 2"
67,"Lunar Summer Trunks",2085,"Seasonal Gear 2"
68,"Red Summer Tanga",2089,"Seasonal Gear 2"
69,"Green Summer Tanga",2090,"Seasonal Gear 2"
70,"Blue Summer Tanga",2091,"Seasonal Gear 2"
71,"Solar Summer Tanga",2092,"Seasonal Gear 2"
72,"Lunar Summer Tanga",2093,"Seasonal Gear 2"
73,"Pumpkin Head",2123,"Seasonal Gear 3"
74,"Unripened Pumpkin Head",2124,"Seasonal Gear 3"
